city,stateName
New York,New York
Los Angeles,California
Chicago,Illinois
Miami,Florida
Dallas,Texas
Houston,Texas
Philadelphia,Pennsylvania
Atlanta,Georgia
Washington,District of Columbia
Boston,Massachusetts
Phoenix,Arizona
Detroit,Michigan
San Francisco,California
Seattle,Washington
San Diego,California
Minneapolis,Minnesota
Tampa,Florida
Brooklyn,New York
Denver,Colorado
Queens,New York
Baltimore,Maryland
Las Vegas,Nevada
St. Louis,Missouri
Riverside,California
Portland,Oregon
San Antonio,Texas
Sacramento,California
San Juan,Puerto Rico
San Jose,California
Orlando,Florida
Cleveland,Ohio
Pittsburgh,Pennsylvania
Manhattan,New York
Austin,Texas
Cincinnati,Ohio
Indianapolis,Indiana
Kansas City,Missouri
Columbus,Ohio
Charlotte,North Carolina
Virginia Beach,Virginia
Bronx,New York
Milwaukee,Wisconsin
Providence,Rhode Island
Jacksonville,Florida
Salt Lake City,Utah
Nashville,Tennessee
Raleigh,North Carolina
Memphis,Tennessee
Richmond,Virginia
Louisville,Kentucky
New Orleans,Louisiana
Bridgeport,Connecticut
Oklahoma City,Oklahoma
Buffalo,New York
Hartford,Connecticut
Fort Worth,Texas
Tucson,Arizona
Honolulu,Hawaii
McAllen,Texas
El Paso,Texas
Omaha,Nebraska
Albuquerque,New Mexico
Birmingham,Alabama
Sarasota,Florida
Dayton,Ohio
Rochester,New York
Fresno,California
Tulsa,Oklahoma
Allentown,Pennsylvania
Concord,California
Cape Coral,Florida
Charleston,South Carolina
Colorado Springs,Colorado
Springfield,Massachusetts
Grand Rapids,Michigan
Ogden,Utah
Columbia,South Carolina
Baton Rouge,Louisiana
Knoxville,Tennessee
Mission Viejo,California
Albany,New York
Akron,Ohio
New Haven,Connecticut
Provo,Utah
Bakersfield,California
Murrieta,California
Des Moines,Iowa
Worcester,Massachusetts
Mesa,Arizona
Toledo,Ohio
Palm Bay,Florida
Staten Island,New York
Wichita,Kansas
Harrisburg,Pennsylvania
Long Beach,California
Little Rock,Arkansas
Madison,Wisconsin
Greenville,South Carolina
Reno,Nevada
Port St. Lucie,Florida
Lancaster,Pennsylvania
Spokane,Washington
Denton,Texas
Poughkeepsie,New York
Oakland,California
Winston-Salem,North Carolina
Syracuse,New York
Boise,Idaho
Chattanooga,Tennessee
Augusta,Georgia
Arlington,Texas
Stockton,California
Durham,North Carolina
Palm Coast,Florida
Scranton,Pennsylvania
Aurora,Colorado
Oxnard,California
Modesto,California
Indio,California
Kissimmee,Florida
Youngstown,Ohio
Pensacola,Florida
Lancaster,California
Anaheim,California
Fayetteville,Arkansas
Jackson,Mississippi
Victorville,California
Bonita Springs,Florida
Greensboro,North Carolina
Corpus Christi,Texas
Flint,Michigan
Fayetteville,North Carolina
Santa Ana,California
Fort Wayne,Indiana
Mobile,Alabama
Lansing,Michigan
Ann Arbor,Michigan
Huntsville,Alabama
Lexington,Kentucky
Santa Rosa,California
Antioch,California
Asheville,North Carolina
Henderson,Nevada
St. Paul,Minnesota
